Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
2,"[ 7.22723007e+01 -3.38051224e+00 -3.89385452e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.13829839e+00  1.13525810e+02  3.59650177e+02  1.14936363e-02
  6.97577124e+01]",7,1.0,"[0.513921, 0.999974, 0.999971, 0.999969, 0.499805, 0.295471, 0.999956, 0.999952, 0.999946, 0.99993, 0.9999, 0.999867]",False
2,"[ 76.58482361  -3.44481325 -40.51991653   0.           0.5
   0.          12.           1.           0.69417441 109.26767731
 359.77352905   2.78575062  34.80882897]",44,1.0,"[0.999846, 0.999831, 0.999848, 0.999929, 0.999958, 0.999887, 0.999767, 0.999654, 0.999622, 0.999583, 0.999539, 0.999494]",False
2,"[112.52883911  -3.9308238  -51.11254501   0.           0.5
   0.          12.           1.           0.59278286 103.26644135
 359.36502075   9.05053383   7.74078183]",36,1.0,"[0.999676, 0.999627, 0.99958, 0.999534, 0.999482, 0.999426, 0.999447, 0.999484, 0.999523, 0.999562, 0.999601, 0.999638]",False
2,"[ 1.76806732e+02 -4.65953445e+00 -6.56171494e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.03889787e-01  1.02308304e+02  1.27716705e-01  1.28183415e+01
  2.18383212e+01]",27,1.0,"[0.999674, 0.999706, 0.999738, 0.999765, 0.99979, 0.999815, 0.99984, 0.999865, 0.999889, 0.99996, 0.999982, 0.999994]",False
2,"[244.67288208  -5.8312664  -80.39118958   0.           0.5
   0.          12.          -1.           0.89120424 111.44872284
   0.96432024  13.43452505  13.06532122]",36,1.0,"[0.999992, 0.999974, 0.999938, 0.999879, 0.999791, 0.99973, 0.999843, 0.999932, 0.999975, 0.999991, 0.999973, 0.999938]",False
2,"[ 334.79840088   -7.45457935 -114.91577148    0.            0.5
    0.           12.           -1.            1.16853452  108.00249481
  358.75143433   17.53675107   17.87411046]",26,1.0,"[1, 0.999799, 0.9998, 0.999801, 0.999798, 0.999793, 0.999788, 0.999785, 0, 0, 0, 0]",False
2,"[ 3.44926971e+02 -7.58769989e+00 -1.19983429e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.57357117e+02  1.21275146e+02  1.47245359e+00  1.24983748e-04
  1.36345272e+00]",35,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.44926971e+02 -7.58771086e+00 -1.19983429e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57357391e+02  1.21265793e+02  1.47259295e+00  1.25229888e-04
  1.36348465e+00]",43,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.44926971e+02 -7.58772469e+00 -1.19983429e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57357605e+02  1.21256538e+02  1.47299945e+00  1.27796400e-04
  1.36345640e+00]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.44926971e+02 -7.58773708e+00 -1.19983429e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  3.57357910e+02  1.21247276e+02  1.47347009e+00  1.23892164e-04
  1.36345635e+00]",16,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
