Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
3,"[ 2.36189987e+02 -5.67816830e+00 -8.11786880e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.17853117e+00  1.13315987e+02  3.59559235e+02  5.66610539e-03]",10,0.137,"[0.135179, 0.135375, 0.135617, 0.135809, 0.136023, 0.136239, 0.136469, 0.136675, 0.136905, 0.137091, 0.137201, 0.137437]",False
3,"[ 2.36220367e+02 -5.68051672e+00 -8.11561661e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.35497820e+00  1.14086464e+02  3.59454529e+02  6.83304054e-03]",12,0.14,"[0.137669, 0.137921, 0.138155, 0.138409, 0.13866, 0.138871, 0.139141, 0.139383, 0.139609, 0.139853, 0.140102, 0.140373]",False
3,"[ 2.36254364e+02 -5.68264532e+00 -8.11330261e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  1.46365225e+00  1.14851952e+02  3.59325562e+02  8.34422896e-03]",48,0.144,"[0.140621, 0.140887, 0.141157, 0.141429, 0.141652, 0.142008, 0.142335, 0.142608, 0.142881, 0.143171, 0.143433, 0.143715]",False
3,"[ 2.36291870e+02 -5.68435907e+00 -8.11098938e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  1.54611111e+00  1.15617073e+02  3.59234467e+02  3.87137930e-03]",30,0.147,"[0.144016, 0.144321, 0.144597, 0.144867, 0.145178, 0.145443, 0.14575, 0.146033, 0.146317, 0.146642, 0.146899, 0.14719]",False
3,"[ 2.36331635e+02 -5.68591022e+00 -8.10859528e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  1.61533189e+00  1.16410919e+02  3.59163269e+02  7.72078328e-03]",26,0.152,"[0.147443, 0.147724, 0.148015, 0.148314, 0.148663, 0.148951, 0.149235, 0.149519, 0.149821, 0.150371, 0.150977, 0.151562]",False
3,"[ 2.36377838e+02 -5.68539906e+00 -8.10629120e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.52667356e+00  1.17161514e+02  3.59249237e+02  1.01825249e-02]",25,0.159,"[0.152285, 0.153055, 0.153665, 0.154339, 0.154934, 0.155541, 0.15622, 0.156824, 0.157414, 0.158123, 0.158756, 0.159357]",False
3,"[ 2.36440201e+02 -5.68647337e+00 -8.10470276e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.53292620e+00  1.17790878e+02  3.59262573e+02  9.09676254e-03]",10,0.166,"[0.159952, 0.160484, 0.161002, 0.161535, 0.16219, 0.16276, 0.163331, 0.163922, 0.164458, 0.164993, 0.165521, 0.166022]",False
3,"[ 2.36498108e+02 -5.68785429e+00 -8.10284958e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.56244564e+00  1.18517555e+02  3.59253326e+02  9.95901640e-03]",9,0.172,"[0.166616, 0.167146, 0.167696, 0.168208, 0.168711, 0.169186, 0.169703, 0.170276, 0.170802, 0.171219, 0.171616, 0.172141]",False
3,"[ 2.36554916e+02 -5.68949699e+00 -8.10081100e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.59922993e+00  1.19335617e+02  3.59206543e+02  7.35660106e-03]",30,0.178,"[0.172761, 0.173232, 0.173769, 0.174332, 0.17481, 0.175253, 0.175738, 0.176206, 0.176704, 0.177171, 0.177685, 0.178215]",False
3,"[ 2.36614563e+02 -5.69166136e+00 -8.09854279e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  1.65851247e+00  1.20285835e+02  3.59126160e+02  1.59504972e-02]",13,0.185,"[0.178752, 0.17928, 0.179735, 0.180286, 0.180778, 0.181267, 0.18178, 0.182282, 0.182884, 0.183435, 0.183992, 0.184521]",False
3,"[ 2.36678513e+02 -5.69391775e+00 -8.09615021e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.72814381e+00  1.21319557e+02  3.59066833e+02  9.25744452e-03]",43,0.191,"[0.185044, 0.185527, 0.186084, 0.186602, 0.187118, 0.187782, 0.188355, 0.188862, 0.189412, 0.190012, 0.190518, 0.191069]",False
