Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
2,9,"[-221.44558716   10.20431423  -66.05990601   20.2000003    10.
    0.          359.99362183  242.46832275  359.62826538    3.64240468
    8.           65.54194448   11.17629054    1.3486768    -1.08857845
  100.           10.          100.           20.           15.7
    0.          100.           50.9315812     0.38827942]",89,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,False
2,10,"[-2.21253204e+02  1.02032251e+01 -1.03571701e+02  2.02000003e+01
  1.00000000e+01 -1.00000000e+00  3.59974915e+02  1.70073761e+02
 -4.04349342e-03  9.25464338e+00  9.00000000e+00  3.07290279e+01
  1.00003531e+01  1.34880793e+00  1.73261269e-01  1.21220444e+02
  6.99786165e+00  9.35616942e+00  7.16021423e+00  1.57000000e+01
  0.00000000e+00  1.00000000e+02 -1.81825675e-02  2.35965776e+00]",82,-1,0.115403,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.115403]",A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,False
2,11,"[-2.11912888e+02  1.02041674e+01 -1.59009232e+02  2.02000003e+01
  1.00000000e+01 -1.00000000e+00  1.65423527e-01  1.70968399e+02
  1.64410993e-02  5.65676381e+00  1.00000000e+01  4.43935630e+00
  1.92934415e+01  1.34762584e+00  1.57561360e-01  1.64771634e+01
  6.30381002e+00  1.92934431e+01  3.67856941e+00  0.00000000e+00
  3.27583177e+01  1.00000000e+02  2.20791806e+00 -2.20858131e+00]",72,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,False
2,12,"[-2.09138901e+02  1.02044744e+01 -1.75814499e+02  2.02000003e+01
  1.00000000e+01  1.00000000e+00  2.89323255e-02  1.70702637e+02
  4.32806592e-05  1.04705828e+00  1.10000000e+01  1.11666610e+01
  1.09845690e+00  1.34848064e+00  1.62274568e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  1.56205090e+01  1.00000000e+02 -1.05397132e-01 -5.95309689e-01]",134,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow Sedan is crossing the road from left to right (far) and maintaining lane.,True
3,0,"[ -65.58789062   10.20433426 -112.28749847    0.           10.
   -1.          359.86404419  227.74816895  359.84997559    2.81511167
    0.          100.          100.            1.80804979   -0.8377394
    0.            0.            0.            0.           38.32103256
    0.          100.           25.21597792    1.09888162]",58,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow Sedan is crossing the road from right to left (far) and switching lane.,False
3,1,"[-9.53169708e+01  1.02033253e+01 -1.44619125e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.42199283e-02  2.22824783e+02
  7.32906386e-02  8.86895480e+00  1.00000000e+00  2.23326914e+01
  5.58796939e+00  1.34850492e+00 -7.47763860e-01  1.73413841e+00
  1.36365226e-01  1.10558393e+00  9.48986388e-01  0.00000000e+00
  3.16131433e+01  1.00000000e+02 -1.07195753e+00 -2.21147490e+00]",39,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,False
3,2,"[-1.18637283e+02  1.02041597e+01 -1.54245956e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59942505e+02  3.02685547e+02
  2.43183732e-01  4.22744042e+00  2.00000000e+00  5.86964700e+01
  1.11756048e+01  1.34900514e+00  9.99223697e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  6.13125080e+01
  0.00000000e+00  1.00000000e+02 -1.30693080e+01  1.74830296e+00]",68,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,False
3,3,"[-146.98313904   10.20345879 -127.67914581    0.           10.
    1.          359.85449219  314.47979736  359.99172974    8.84657627
    3.           27.73589539   10.00005262    1.34954829    0.79451655
  100.           10.          100.           20.           15.7
    0.          100.            0.90538863    1.52016104]",103,0.617221,0.617221,"[0, 0.239863, 0.617221, 0.092312, 0.208285, 0, 0, 0, 0, 0, 0, 0]",A yellow SUV is overtaking (near) the ego vehicle and switching lane.,False
3,4,"[-1.78313034e+02  1.02045584e+01 -9.74896851e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.65198976e-01  3.14399841e+02
  1.09963212e-03  1.30062813e+00  4.00000000e+00  8.81951828e+00
  1.47968168e+00  1.34700893e+00  7.95871483e-01  1.31005826e+00
  6.22851889e-02  1.47968185e+00  2.58363283e+00  0.00000000e+00
  1.78152294e+01  1.00000000e+02 -5.34777914e-01 -7.38913763e-01]",120,-1,0.065828,"[0, 0, 0, 0, 0, 0.065828, 0, 0, 0, 0, 0, 0]",A yellow Sedan is driving from the opposite direction (near) and switching lane.,False
3,5,"[-1.79606049e+02  1.02044859e+01 -9.62169876e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.89832715e-05  3.14502991e+02
 -2.98585310e-05  3.23201637e-06  5.00000000e+00  8.74440699e+00
  0.00000000e+00  1.34865820e+00  7.94074535e-01  4.40659233e+01
  1.58522731e+00  0.00000000e+00  4.46286580e+00  0.00000000e+00
  4.72714807e+01  1.00000000e+02 -4.91813186e-01 -2.81711969e-02]",8,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Moderate wetness,False
